Entity type:	all
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
correlation_with_terminology_coverage_entropy	0.77252891	0.85199812	0.63425953	0.65754662	-0.21499852	-0.049899563	-0.79524938	0.17454043	-0.33911989	1	0.98300218	0.35329448	0.070533986	-0.072989361	0.073585775
correlation_with_annotation_topic_coverage_entropy	0.8360533	0.89257613	0.73575686	0.66914189	-0.28802564	-0.14910774	-0.78852571	0.20839107	-0.43267317	0.98300218	1	0.35797383	0.010683679	-0.13991875	0.1061439
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	-0.082426643	0.11455008	-0.47409963	-0.0018120768	0.049348438	0.35329448	0.35797383	1	0.62668991	0.58947814	0.24899336
correlation_with_train_test_mention_token_overlap	0.15756206	0.24850077	0.1343062	-0.093927223	0.40920055	0.24559524	-0.07894394	0.024085179	0.43714789	0.070533986	0.010683679	0.62668991	1	0.79932535	0.38325926
correlation_with_train_test_mention_string_overlap	-0.07391386	0.024329422	-0.16351647	-0.0097660264	0.33416785	0.31863415	0.090983426	-0.072613963	0.33453928	-0.072989361	-0.13991875	0.58947814	0.79932535	1	0.42748578
correlation_with_train_test_identifier_overlap	-0.11335388	0.065026354	-0.13700561	-0.17867262	0.32247799	0.31638016	0.088693007	-0.47930288	0.046942007	0.073585775	0.1061439	0.24899336	0.38325926	0.42748578	1

Entity type:	anatomy
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41	22.778376	0	1.0322581	202.66667	9			0.35958122	0.32214156	0.17005076	
BC2GM	9.0985765	3.6840377	4.1273397	38								0.25321183			
BC5CDR	8.936437	3.6306134	3.6248526	48								0.41873234			
BioID	2.7983445	2.0137087	2.0137087	19	9.2752282	0.34321384	1.0942857	1.8267091	1			0.25174942	0.23123487	0.14285714	0.17475728
BioRED	8.0119674	3.664348	3.9536047	51								0.2706265			
CHEMDNER	6.7676532	3.3931164	3.3438838	4								0.38358707			
CRAFT	3.7418223	3.2037315	2.9988352	6	35.740201	41	1.0330446	2.4980605	2			0.34182785	0.34883721	0.17713311	0.28990228
CellLink	6.7947654	3.5820846	3.6503491	6								0.33743784			
JNLPBA	6.7541537	3.056553	3.7112801	23								0.35854342			
Linnaeus	5.0476288	3.6474887	3.6286214	58											
MedMentions	10.524343	4.0553945	4.2045568	6	20.155022	2.2470401	1.0562187	2.7167382	1			0.32963798	0.20849509	0.09599511	0.18601134
NCBI-Disease	5.0253089	3.272444	2.5179797	25								0.28182317			
NLM-Chem	4.9646995	3.3269423	3.5914521	14								0.33162521			
NLM-Gene	6.3533468	3.2725862	3.6588469	17								0.26468951			
S1000	5.0504357	3.458114	2.8586136	45								0.28156463			
tmVar	7.7763334	3.1999731	3.7201605	10								0.322663			
correlation_with_terminology_coverage_entropy															
correlation_with_annotation_topic_coverage_entropy															
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	0.7611455	0.30078563	-0.97415625	0.54773071	0.6025302			1	0.59678428	0.25958367	0.67236708
correlation_with_train_test_mention_token_overlap	-0.25795359	0.1594512	0.056202402	0.28162805	0.77719796	0.66729204	-0.75215056	0.43463015	0.53962293			0.59678428	1	0.91477827	0.97127089
correlation_with_train_test_mention_string_overlap	-0.52673977	-0.19433699	-0.27158761	0.42623817	0.48245706	0.51465729	-0.44012761	0.42567676	0.51387739			0.25958367	0.91477827	1	0.76376045
correlation_with_train_test_identifier_overlap	-0.31710811	0.18311125	0.030686423	-0.57479833	0.94521388	0.99888358	-0.83955616	0.3656899	0.99606351			0.67236708	0.97127089	0.76376045	1

Entity type:	cell
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41	16.154205	0	1	1362	1			0.35958122	0.26683292	0.12981575	
BC2GM	9.0985765	3.6840377	4.1273397	38								0.25321183			
BC5CDR	8.936437	3.6306134	3.6248526	48								0.41873234			
BioID	2.7983445	2.0137087	2.0137087	19	16.062991	0.6025407	1.0741463	2.0695489	2	2.7198756	2.6935982	0.25174942	0.2004717	0.13463415	0.19465649
BioRED	8.0119674	3.664348	3.9536047	51								0.2706265			
CHEMDNER	6.7676532	3.3931164	3.3438838	4								0.38358707			
CRAFT	3.7418223	3.2037315	2.9988352	6	8.5952145	8.5979381	1.0114226	3.4175439	1	2.5892182	2.3600552	0.34182785	0.28604651	0.13929785	0.31046931
CellLink	6.7947654	3.5820846	3.6503491	6	77.773828	4.0908637	1.065367	3.736551	3	2.6101026	2.6185028	0.33743784	0.27899379	0.09131307	0.40633737
JNLPBA	6.7541537	3.056553	3.7112801	23	22.815392	0	1.0307572	2647.5	2			0.35854342	0.26783969	0.08039712	
Linnaeus	5.0476288	3.6474887	3.6286214	58											
MedMentions	10.524343	4.0553945	4.2045568	6								0.32963798			
NCBI-Disease	5.0253089	3.272444	2.5179797	25								0.28182317			
NLM-Chem	4.9646995	3.3269423	3.5914521	14								0.33162521			
NLM-Gene	6.3533468	3.2725862	3.6588469	17								0.26468951			
S1000	5.0504357	3.458114	2.8586136	45								0.28156463			
tmVar	7.7763334	3.1999731	3.7201605	10								0.322663			
correlation_with_terminology_coverage_entropy	-0.56634138	-0.92770394	-0.84948842	0.98887086	-0.27228524	-0.90144512	0.71912152	-0.94585349	0.14877644	1	0.77657288	-0.99437694	-0.99718686	0.28214421	-0.81469998
correlation_with_annotation_topic_coverage_entropy	0.079444828	-0.48522992	-0.32728261	0.67419705	0.39477351	-0.97277255	0.99624646	-0.53002114	0.73855151	0.77657288	1	-0.70548715	-0.72716412	-0.38532514	-0.26733189
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	0.11456528	0.13066554	-0.73266637	0.5482515	-0.2280154	-0.99437694	-0.70548715	1	0.90281725	-0.4059833	0.87152762
correlation_with_train_test_mention_token_overlap	0.5101886	0.81264918	0.74789431	-0.20368454	0.26710467	0.51903444	-0.59170975	0.18422677	-0.12083711	-0.99718686	-0.72716412	0.90281725	1	-0.31052168	0.85587363
correlation_with_train_test_mention_string_overlap	-0.45140667	-0.19532154	-0.48194481	0.11415065	-0.61539066	0.30234047	-0.25302841	-0.55629276	-0.68954307	0.28214421	-0.38532514	-0.4059833	-0.31052168	1	-0.78618611
correlation_with_train_test_identifier_overlap	0.93932068	0.97228031	0.99802852	-0.89190595	0.77980353	0.48337992	-0.18291688	0.95881318	0.45222095	-0.81469998	-0.26733189	0.87152762	0.85587363	-0.78618611	1

Entity type:	chemical
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41								0.35958122			
BC2GM	9.0985765	3.6840377	4.1273397	38								0.25321183			
BC5CDR	8.936437	3.6306134	3.6248526	48	55.316757	2.9653333	1.0068208	2.0757812	1	2.6972972	2.5806281	0.41873234	0.26477273	0.20451202	0.29332043
BioID	2.7983445	2.0137087	2.0137087	19	15.348243	0.57611156	1.0914672	1.5407279	1	3.1906415	3.2111161	0.25174942	0.20379147	0.15162676	0.17913043
BioRED	8.0119674	3.664348	3.9536047	51	27.817979	2.145	1.0077586	1.7765957	1	3.0853732	2.9509381	0.2706265	0.14711934	0.10931174	0.16666667
CHEMDNER	6.7676532	3.3931164	3.3438838	4	41.037842	0	1	19803	1			0.38358707	0.2614693	0.15021459	
CRAFT	3.7418223	3.2037315	2.9988352	6	9.949715	21.546392	1.0029441	1.7410562	1	3.4723092	3.7070833	0.34182785	0.28666667	0.21239837	0.30313589
CellLink	6.7947654	3.5820846	3.6503491	6								0.33743784			
JNLPBA	6.7541537	3.056553	3.7112801	23								0.35854342			
Linnaeus	5.0476288	3.6474887	3.6286214	58											
MedMentions	10.524343	4.0553945	4.2045568	6	34.181909	3.2199454	1.0661595	2.6275735	1			0.32963798	0.20649234	0.08864043	0.18509871
NCBI-Disease	5.0253089	3.272444	2.5179797	25								0.28182317			
NLM-Chem	4.9646995	3.3269423	3.5914521	14	47.842994	34.066667	1.0238585	2.4153324	1	2.8593172	2.974486	0.33162521	0.20498695	0.11033394	0.23784104
NLM-Gene	6.3533468	3.2725862	3.6588469	17								0.26468951			
S1000	5.0504357	3.458114	2.8586136	45								0.28156463			
tmVar	7.7763334	3.1999731	3.7201605	10								0.322663			
correlation_with_terminology_coverage_entropy	-0.67157852	-0.39957289	-0.49210028	-0.57237362	-0.96743399	0.05828236	0.13392968	-0.69130185		1	0.95478699	-0.49703289	0.15508302	0.21993661	-0.035354625
correlation_with_annotation_topic_coverage_entropy	-0.7767704	-0.39413553	-0.49902087	-0.77602132	-0.87486027	0.32143697	0.10176849	-0.48299838		0.95478699	1	-0.36092918	0.30828164	0.26030996	0.14157553
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	0.661252	0.050732881	-0.5919111	0.38519434		-0.49703289	-0.36092918	1	0.73694924	0.46949719	0.79927858
correlation_with_train_test_mention_token_overlap	-0.17853091	-0.026932377	-0.24054686	-0.40361673	0.045407322	0.13633038	-0.36485756	0.33284812		0.15508302	0.30828164	0.73694924	1	0.79892725	0.91109532
correlation_with_train_test_mention_string_overlap	-0.35840445	-0.2794722	-0.45642496	0.088216493	-0.14607813	0.021652449	-0.38303852	0.032123148		0.21993661	0.26030996	0.46949719	0.79892725	1	0.81912694
correlation_with_train_test_identifier_overlap	-0.15876125	0.1079094	-0.060308975	-0.085453051	0.18717338	0.45348645	-0.61249566	-0.00877		-0.035354625	0.14157553	0.79927858	0.91109532	0.81912694	1

Entity type:	disease
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41	13.529409	0	1.004111	488.5	2			0.35958122	0.29818182	0.14421931	
BC2GM	9.0985765	3.6840377	4.1273397	38								0.25321183			
BC5CDR	8.936437	3.6306134	3.6248526	48	50.991862	3.9193333	1.0231062	2.8909091	1	3.949006	3.5190882	0.41873234	0.35029459	0.19173364	0.43278689
BioID	2.7983445	2.0137087	2.0137087	19								0.25174942			
BioRED	8.0119674	3.664348	3.9536047	51	35.238109	3.2433333	1.0087314	2.4187192	1	4.0214316	3.9034514	0.2706265	0.21184023	0.07927928	0.18614719
CHEMDNER	6.7676532	3.3931164	3.3438838	4								0.38358707			
CRAFT	3.7418223	3.2037315	2.9988352	6	5.3625903	6.443299	1.0058997	2.0920245	1	2.52555	2.252084	0.34182785	0.19600726	0.08333333	0.15408805
CellLink	6.7947654	3.5820846	3.6503491	6								0.33743784			
JNLPBA	6.7541537	3.056553	3.7112801	23								0.35854342			
Linnaeus	5.0476288	3.6474887	3.6286214	58											
MedMentions	10.524343	4.0553945	4.2045568	6	16.000576	2.3649818	1.0531657	2.5876442	1			0.32963798	0.24817518	0.08916968	0.19106913
NCBI-Disease	5.0253089	3.272444	2.5179797	25	42.028011	3.1702396	1.0135768	2.750953	1	3.9145394	3.5524845	0.28182317	0.218	0.08964451	0.19632768
NLM-Chem	4.9646995	3.3269423	3.5914521	14								0.33162521			
NLM-Gene	6.3533468	3.2725862	3.6588469	17								0.26468951			
S1000	5.0504357	3.458114	2.8586136	45								0.28156463			
tmVar	7.7763334	3.1999731	3.7201605	10								0.322663			
correlation_with_terminology_coverage_entropy	0.75465837	0.70386879	0.33740222	0.86168096	0.93131198	-0.97530114	0.58550633	0.80273196		1	0.9825926	-0.14933284	0.43407277	0.32452491	0.44489848
correlation_with_annotation_topic_coverage_entropy	0.74548402	0.73804028	0.41967786	0.88017934	0.84988146	-0.97298108	0.44067614	0.67805438		0.9825926	1	-0.27705022	0.30667622	0.18876684	0.31824886
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	0.053257144	0.012178316	0.1294727	0.23460136	0.23417479	-0.14933284	-0.27705022	1	0.83286269	0.87057298	0.79998553
correlation_with_train_test_mention_token_overlap	0.60355239	0.47236985	0.40036302	0.50413452	0.3983979	-0.4107022	0.16830296	0.36687244	0.36590043	0.43407277	0.30667622	0.83286269	1	0.96886238	0.97278817
correlation_with_train_test_mention_string_overlap	0.39886218	0.26061589	0.2267158	0.5322046	0.42423281	-0.25292644	-0.0225774	0.33889146	0.33802122	0.32452491	0.18876684	0.87057298	0.96886238	1	0.99126683
correlation_with_train_test_identifier_overlap	0.41099927	0.17434571	0.15738208	0.5744458	0.70759818	-0.10621687	0.1275621	0.72089526		0.44489848	0.31824886	0.79998553	0.97278817	0.99126683	1

Entity type:	function_process
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41								0.35958122			
BC2GM	9.0985765	3.6840377	4.1273397	38								0.25321183			
BC5CDR	8.936437	3.6306134	3.6248526	48								0.41873234			
BioID	2.7983445	2.0137087	2.0137087	19	9.1031608	0.36285318	1.1148577	2.678481	1			0.25174942	0.25552486	0.16859852	0.29255319
BioRED	8.0119674	3.664348	3.9536047	51								0.2706265			
CHEMDNER	6.7676532	3.3931164	3.3438838	4								0.38358707			
CRAFT	3.7418223	3.2037315	2.9988352	6	20.27753	25.28866	1.0034791	2.7137097	3			0.34182785	0.32888889	0.1736227	0.28093159
CellLink	6.7947654	3.5820846	3.6503491	6								0.33743784			
JNLPBA	6.7541537	3.056553	3.7112801	23								0.35854342			
Linnaeus	5.0476288	3.6474887	3.6286214	58											
MedMentions	10.524343	4.0553945	4.2045568	6	37.762242	4.3918488	1.0954195	2.7235112	1			0.32963798	0.26916776	0.11519585	0.22569214
NCBI-Disease	5.0253089	3.272444	2.5179797	25								0.28182317			
NLM-Chem	4.9646995	3.3269423	3.5914521	14								0.33162521			
NLM-Gene	6.3533468	3.2725862	3.6588469	17								0.26468951			
S1000	5.0504357	3.458114	2.8586136	45								0.28156463			
tmVar	7.7763334	3.1999731	3.7201605	10								0.322663			
correlation_with_terminology_coverage_entropy															
correlation_with_annotation_topic_coverage_entropy															
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	0.71435837	0.71719861	-0.72617753	0.94490354	0.60410563			1	0.73411922	-0.3154159	-0.532831
correlation_with_train_test_mention_token_overlap	-0.23353535	0.26780775	0.11738663	-0.64370076	0.049259147	0.99969757	-0.99993245	0.47139521	0.98459995			0.73411922	1	0.41280612	0.18344047
correlation_with_train_test_mention_string_overlap	-0.98203806	-0.76699619	-0.85606386	0.43130542	-0.88937874	0.43508029	-0.42336448	-0.60867649	0.56568059			-0.3154159	0.41280612	1	0.97108842
correlation_with_train_test_identifier_overlap	-0.99868819	-0.89799626	-0.95470097	0.63421039	-0.97280133	0.20755986	-0.19485362	-0.78048363	0.35247145			-0.532831	0.18344047	0.97108842	1

Entity type:	gene_protein_sequence
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41								0.35958122			
BC2GM	9.0985765	3.6840377	4.1273397	38	87.420019	0	1	22364	1			0.25321183	0.17795997	0.04569844	
BC5CDR	8.936437	3.6306134	3.6248526	48								0.41873234			
BioID	2.7983445	2.0137087	2.0137087	19	81.876007	2.9321749	1.5492076	1.2699278	1			0.25174942	0.15334827	0.10585013	0.11318005
BioRED	8.0119674	3.664348	3.9536047	51	39.896091	3.91	1.1269276	1.6784452	1			0.2706265	0.13483146	0.05102041	0.08821454
CHEMDNER	6.7676532	3.3931164	3.3438838	4								0.38358707			
CRAFT	3.7418223	3.2037315	2.9988352	6	55.626346	36.123711	1.0036938	2.0916725	2			0.34182785	0.19441816	0.10390567	0.16539634
CellLink	6.7947654	3.5820846	3.6503491	6								0.33743784			
JNLPBA	6.7541537	3.056553	3.7112801	23	82.751763	0	1.0152078	5652	3			0.35854342	0.25814785	0.06208837	
Linnaeus	5.0476288	3.6474887	3.6286214	58											
MedMentions	10.524343	4.0553945	4.2045568	6								0.32963798			
NCBI-Disease	5.0253089	3.272444	2.5179797	25								0.28182317			
NLM-Chem	4.9646995	3.3269423	3.5914521	14								0.33162521			
NLM-Gene	6.3533468	3.2725862	3.6588469	17	90.636247	11.158182	1.2298199	1.6732728	1			0.26468951	0.1614143	0.07869715	0.11013216
S1000	5.0504357	3.458114	2.8586136	45								0.28156463			
tmVar	7.7763334	3.1999731	3.7201605	10								0.322663			
correlation_with_terminology_coverage_entropy															
correlation_with_annotation_topic_coverage_entropy															
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	-0.18731995	0.42431036	-0.55634137	-0.20664136	0.95181673			1	0.83138934	0.1428736	0.8688096
correlation_with_train_test_mention_token_overlap	0.015013258	-0.021446935	0.14200374	-0.37699234	0.3185091	0.019113853	-0.50518683	0.20343864	0.94009193			0.83138934	1	-0.060132262	0.98047368
correlation_with_train_test_mention_string_overlap	-0.98092198	-0.75078433	-0.89865538	-0.82560596	0.030871331	0.61103618	0.54140005	-0.61253379	0.040814406			0.1428736	-0.060132262	1	0.73545109
correlation_with_train_test_identifier_overlap	-0.64154878	-0.11022421	-0.35129437	-0.82827608	0.0045786099	0.93772667	-0.40031301	0.65567667	0.94049179			0.8688096	0.98047368	0.73545109	1

Entity type:	sequence_variant
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41								0.35958122			
BC2GM	9.0985765	3.6840377	4.1273397	38								0.25321183			
BC5CDR	8.936437	3.6306134	3.6248526	48								0.41873234			
BioID	2.7983445	2.0137087	2.0137087	19								0.25174942			
BioRED	8.0119674	3.664348	3.9536047	51	8.3594793	1.17	1.0098146	1.3657817	1			0.2706265	0.07894737	0.00534759	0.00905797
CHEMDNER	6.7676532	3.3931164	3.3438838	4								0.38358707			
CRAFT	3.7418223	3.2037315	2.9988352	6								0.34182785			
CellLink	6.7947654	3.5820846	3.6503491	6								0.33743784			
JNLPBA	6.7541537	3.056553	3.7112801	23								0.35854342			
Linnaeus	5.0476288	3.6474887	3.6286214	58											
MedMentions	10.524343	4.0553945	4.2045568	6								0.32963798			
NCBI-Disease	5.0253089	3.272444	2.5179797	25								0.28182317			
NLM-Chem	4.9646995	3.3269423	3.5914521	14								0.33162521			
NLM-Gene	6.3533468	3.2725862	3.6588469	17								0.26468951			
S1000	5.0504357	3.458114	2.8586136	45								0.28156463			
tmVar	7.7763334	3.1999731	3.7201605	10	10.574973	1.83	1.0021436	1.0734788	1			0.322663	0.04026217	0.00643087	0.0195178
correlation_with_terminology_coverage_entropy															
correlation_with_annotation_topic_coverage_entropy															
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	1	1	-1	-1				1	-1	1	1
correlation_with_train_test_mention_token_overlap	1	1	1	1	-1	-1	1	1				-1	1	-1	-1
correlation_with_train_test_mention_string_overlap	-1	-1	-1	-1	1	1	-1	-1				1	-1	1	1
correlation_with_train_test_identifier_overlap	-1	-1	-1	-1	1	1	-1	-1				1	-1	1	1

Entity type:	species
corpus	journal_distribution_entropy	article_topic_distribution_entropy	journal_topic_distribution_entropy	temporal_coverage_range	annotations_per_1000_tokens	unique_identifiers_per_document	ambiguity	variation	entity_type_label_count	terminology_coverage_entropy	annotation_topic_coverage_entropy	train_test_token_overlap	train_test_mention_token_overlap	train_test_mention_string_overlap	train_test_identifier_overlap
AnatEM	8.8173955	3.9826345	4.1141684	41								0.35958122			
BC2GM	9.0985765	3.6840377	4.1273397	38								0.25321183			
BC5CDR	8.936437	3.6306134	3.6248526	48								0.41873234			
BioID	2.7983445	2.0137087	2.0137087	19	11.340511	0.34189969	1.1063348	3.05625	1			0.25174942	0.19282511	0.16742081	0.22151899
BioRED	8.0119674	3.664348	3.9536047	51	13.390551	1.0983333	1	1.9361702	1			0.2706265	0.25287356	0.29268293	0.17073171
CHEMDNER	6.7676532	3.3931164	3.3438838	4								0.38358707			
CRAFT	3.7418223	3.2037315	2.9988352	6	16.65727	10.360825	1.0084986	2.0112994	1			0.34182785	0.29012346	0.24698795	0.27647059
CellLink	6.7947654	3.5820846	3.6503491	6								0.33743784			
JNLPBA	6.7541537	3.056553	3.7112801	23								0.35854342			
Linnaeus	5.0476288	3.6474887	3.6286214	58	6.2469393	4.73	1.0132626	1.639485	1						
MedMentions	10.524343	4.0553945	4.2045568	6	10.758748	1.0956284	1.0460698	2.571512	1			0.32963798	0.1534409	0.08162067	0.16041667
NCBI-Disease	5.0253089	3.272444	2.5179797	25								0.28182317			
NLM-Chem	4.9646995	3.3269423	3.5914521	14								0.33162521			
NLM-Gene	6.3533468	3.2725862	3.6588469	17								0.26468951			
S1000	5.0504357	3.458114	2.8586136	45	28.914856	2.293	1.0077549	1.6533079	3			0.28156463	0.10354553	0.05324173	0.06985294
tmVar	7.7763334	3.1999731	3.7201605	10								0.322663			
correlation_with_terminology_coverage_entropy															
correlation_with_annotation_topic_coverage_entropy															
correlation_with_train_test_token_overlap	0.30000394	0.32302774	0.28392238	-0.14274454	-0.051056929	0.69653854	-0.39498214	-0.22021695	-0.19448442			1	0.2514021	-0.047829722	0.31387911
correlation_with_train_test_mention_token_overlap	-0.20187481	-0.13282958	0.061885503	-0.20837299	-0.46745616	0.59412793	-0.19922343	-0.007938541	-0.70930985			0.2514021	1	0.93399895	0.84439981
correlation_with_train_test_mention_string_overlap	-0.15783453	-0.14066235	0.085344006	0.12358014	-0.42286995	0.34574488	-0.23671459	-0.076586103	-0.62510645			-0.047829722	0.93399895	1	0.65611536
correlation_with_train_test_identifier_overlap	-0.36006264	-0.4136217	-0.21180902	-0.63104112	-0.62099311	0.57375987	0.25750994	0.42096014	-0.79961582			0.31387911	0.84439981	0.65611536	1
